int_video,int_time,str_instrument1,str_instrument2,int_instrument1,int_instrument2,pos_instrument1,pos_instrument2,,
3,0,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,1,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,2,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,3,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,4,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,5,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,6,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,7,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,8,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,9,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,10,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,11,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,12,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,13,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,14,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,15,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,16,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,17,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,18,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,19,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,20,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,21,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,22,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,23,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,24,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,25,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,26,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,27,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,28,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,29,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,30,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,31,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,32,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,33,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,34,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,35,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,36,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,37,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,38,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,39,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,40,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,41,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,42,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,43,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,44,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,45,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,46,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,47,out_of_patient,no_secondary_instrument,-1,-2,,,,
3,48,freer_elevator,no_secondary_instrument,5,-2,4,,,
3,49,freer_elevator,no_secondary_instrument,5,-2,4,,,
3,50,freer_elevator,no_secondary_instrument,5,-2,4,,,
3,51,freer_elevator,no_secondary_instrument,5,-2,1,,,
3,52,freer_elevator,no_secondary_instrument,5,-2,1,,,
3,53,freer_elevator,no_secondary_instrument,5,-2,1,,,
3,54,no_visible_instrument,no_secondary_instrument,0,-2,,,,3
3,55,no_visible_instrument,no_secondary_instrument,0,-2,,,,3
3,56,no_visible_instrument,no_secondary_instrument,0,-2,,,,1
3,57,no_visible_instrument,no_secondary_instrument,0,-2,,,,1
3,58,freer_elevator,no_secondary_instrument,5,-2,1,,,
3,59,freer_elevator,no_secondary_instrument,5,-2,1,,,
3,60,freer_elevator,no_secondary_instrument,5,-2,1,,,
3,61,freer_elevator,no_secondary_instrument,5,-2,1,,,
3,62,freer_elevator,no_secondary_instrument,5,-2,3,,,
3,63,freer_elevator,no_secondary_instrument,5,-2,1,,,
3,64,freer_elevator,no_secondary_instrument,5,-2,1,,,
3,65,freer_elevator,no_secondary_instrument,5,-2,1,,,
3,66,freer_elevator,no_secondary_instrument,5,-2,1,,,
3,67,freer_elevator,no_secondary_instrument,5,-2,1,,,
3,68,freer_elevator,no_secondary_instrument,5,-2,1,,,
3,69,freer_elevator,no_secondary_instrument,5,-2,1,,,
3,70,freer_elevator,no_secondary_instrument,5,-2,3,,,
3,71,freer_elevator,no_secondary_instrument,5,-2,3,,,
3,72,freer_elevator,no_secondary_instrument,5,-2,4,,,
3,73,freer_elevator,no_secondary_instrument,5,-2,4,,,
3,74,freer_elevator,no_secondary_instrument,5,-2,4,,,
3,75,freer_elevator,no_secondary_instrument,5,-2,4,,,
3,76,freer_elevator,no_secondary_instrument,5,-2,3,,,
3,77,freer_elevator,no_secondary_instrument,5,-2,1,,,
3,78,freer_elevator,no_secondary_instrument,5,-2,1,,,
3,79,freer_elevator,no_secondary_instrument,5,-2,4,,,
3,80,freer_elevator,no_secondary_instrument,5,-2,4,,,
3,81,no_visible_instrument,no_secondary_instrument,0,-2,,,,3
3,82,no_visible_instrument,no_secondary_instrument,0,-2,,,,1
3,83,no_visible_instrument,no_secondary_instrument,0,-2,,,,1
3,84,no_visible_instrument,no_secondary_instrument,0,-2,,,,1
3,85,no_visible_instrument,no_secondary_instrument,0,-2,,,,1
3,86,no_visible_instrument,no_secondary_instrument,0,-2,,,,1
3,87,no_visible_instrument,no_secondary_instrument,0,-2,,,,1
3,88,spatula_dissector,no_secondary_instrument,14,-2,1,,,
3,89,spatula_dissector,no_secondary_instrument,14,-2,1,,,
3,90,spatula_dissector,no_secondary_instrument,14,-2,1,,,
3,91,spatula_dissector,no_secondary_instrument,14,-2,1,,,
3,92,spatula_dissector,no_secondary_instrument,14,-2,1,,,
3,93,spatula_dissector,no_secondary_instrument,14,-2,1,,,
3,94,spatula_dissector,no_secondary_instrument,14,-2,1,,,
3,95,spatula_dissector,no_secondary_instrument,14,-2,1,,,
3,96,spatula_dissector,no_secondary_instrument,14,-2,1,,,
3,97,spatula_dissector,no_secondary_instrument,14,-2,1,,,
3,98,spatula_dissector,no_secondary_instrument,14,-2,3,,,
3,99,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,100,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,101,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,102,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,103,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,104,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,105,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,106,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,107,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,108,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,109,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,110,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,111,kerrisons,no_secondary_instrument,8,-2,3,,,
3,112,kerrisons,no_secondary_instrument,8,-2,3,,,
3,113,kerrisons,no_secondary_instrument,8,-2,3,,,
3,114,kerrisons,no_secondary_instrument,8,-2,3,,,
3,115,kerrisons,no_secondary_instrument,8,-2,4,,,
3,116,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,117,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,118,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,119,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,120,kerrisons,no_secondary_instrument,8,-2,3,,,
3,121,kerrisons,no_secondary_instrument,8,-2,3,,,
3,122,kerrisons,no_secondary_instrument,8,-2,3,,,
3,123,kerrisons,no_secondary_instrument,8,-2,4,,,
3,124,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,125,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,126,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,127,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,128,kerrisons,no_secondary_instrument,8,-2,3,,,
3,129,kerrisons,no_secondary_instrument,8,-2,3,,,
3,130,kerrisons,no_secondary_instrument,8,-2,3,,,
3,131,kerrisons,no_secondary_instrument,8,-2,3,,,
3,132,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,133,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,134,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,135,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,136,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,137,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,138,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,139,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,140,cottle,no_secondary_instrument,2,-2,3,,,
3,141,cottle,no_secondary_instrument,2,-2,3,,,
3,142,cottle,no_secondary_instrument,2,-2,3,,,
3,143,cottle,no_secondary_instrument,2,-2,3,,,
3,144,cottle,no_secondary_instrument,2,-2,3,,,
3,145,cottle,no_secondary_instrument,2,-2,3,,,
3,146,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,147,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,148,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,149,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,150,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,151,cottle,no_secondary_instrument,2,-2,3,,,
3,152,cottle,no_secondary_instrument,2,-2,3,,,
3,153,cottle,no_secondary_instrument,2,-2,3,,,
3,154,cottle,no_secondary_instrument,2,-2,3,,,
3,155,cottle,no_secondary_instrument,2,-2,3,,,
3,156,cottle,no_secondary_instrument,2,-2,3,,,
3,157,cottle,no_secondary_instrument,2,-2,3,,,
3,158,cottle,no_secondary_instrument,2,-2,5,,,
3,159,cottle,no_secondary_instrument,2,-2,3,,,
3,160,cottle,no_secondary_instrument,2,-2,3,,,
3,161,cottle,no_secondary_instrument,2,-2,3,,,
3,162,cottle,no_secondary_instrument,2,-2,4,,,
3,163,cottle,no_secondary_instrument,2,-2,3,,,
3,164,cottle,no_secondary_instrument,2,-2,3,,,
3,165,cottle,no_secondary_instrument,2,-2,5,,,
3,166,cottle,no_secondary_instrument,2,-2,3,,,
3,167,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,168,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,169,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,170,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,171,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,172,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,173,kerrisons,no_secondary_instrument,8,-2,4,,,
3,174,kerrisons,no_secondary_instrument,8,-2,1,,,
3,175,kerrisons,no_secondary_instrument,8,-2,3,,,
3,176,kerrisons,no_secondary_instrument,8,-2,4,,,
3,177,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,178,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,179,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,180,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,181,kerrisons,no_secondary_instrument,8,-2,3,,,
3,182,kerrisons,no_secondary_instrument,8,-2,3,,,
3,183,kerrisons,no_secondary_instrument,8,-2,3,,,
3,184,kerrisons,no_secondary_instrument,8,-2,3,,,
3,185,kerrisons,no_secondary_instrument,8,-2,4,,,
3,186,kerrisons,no_secondary_instrument,8,-2,4,,,
3,187,kerrisons,no_secondary_instrument,8,-2,4,,,
3,188,kerrisons,no_secondary_instrument,8,-2,4,,,
3,189,kerrisons,no_secondary_instrument,8,-2,3,,,
3,190,kerrisons,no_secondary_instrument,8,-2,3,,,
3,191,kerrisons,no_secondary_instrument,8,-2,3,,,
3,192,kerrisons,no_secondary_instrument,8,-2,4,,,
3,193,kerrisons,no_secondary_instrument,8,-2,3,,,
3,194,kerrisons,no_secondary_instrument,8,-2,3,,,
3,195,kerrisons,no_secondary_instrument,8,-2,3,,,
3,196,kerrisons,no_secondary_instrument,8,-2,3,,,
3,197,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,198,no_visible_instrument,no_secondary_instrument,0,-2,,,,
3,199,no_visible_instrument,no_secondary_instrument,0,-2,,,,
