int_video,int_time,str_instrument1,str_instrument2,int_instrument1,int_instrument2,pos_instrument1,pos_instrument2
19,0,out_of_patient,no_secondary_instrument,-1,-2,,
19,1,out_of_patient,no_secondary_instrument,-1,-2,,
19,2,out_of_patient,no_secondary_instrument,-1,-2,,
19,3,out_of_patient,no_secondary_instrument,-1,-2,,
19,4,out_of_patient,no_secondary_instrument,-1,-2,,
19,5,out_of_patient,no_secondary_instrument,-1,-2,,
19,6,out_of_patient,no_secondary_instrument,-1,-2,,
19,7,out_of_patient,no_secondary_instrument,-1,-2,,
19,8,out_of_patient,no_secondary_instrument,-1,-2,,
19,9,out_of_patient,no_secondary_instrument,-1,-2,,
19,10,out_of_patient,no_secondary_instrument,-1,-2,,
19,11,out_of_patient,no_secondary_instrument,-1,-2,,
19,12,out_of_patient,no_secondary_instrument,-1,-2,,
19,13,out_of_patient,no_secondary_instrument,-1,-2,,
19,14,out_of_patient,no_secondary_instrument,-1,-2,,
19,15,out_of_patient,no_secondary_instrument,-1,-2,,
19,16,out_of_patient,no_secondary_instrument,-1,-2,,
19,17,no_visible_instrument,no_secondary_instrument,0,-2,,
19,18,no_visible_instrument,no_secondary_instrument,0,-2,,
19,19,suction,no_secondary_instrument,16,-2,5,
19,20,no_visible_instrument,no_secondary_instrument,0,-2,,
19,21,no_visible_instrument,no_secondary_instrument,0,-2,,
19,22,no_visible_instrument,no_secondary_instrument,0,-2,,
19,23,no_visible_instrument,no_secondary_instrument,0,-2,,
19,24,no_visible_instrument,no_secondary_instrument,0,-2,,
19,25,no_visible_instrument,no_secondary_instrument,0,-2,,
19,26,suction,no_secondary_instrument,16,-2,3,
19,27,suction,no_secondary_instrument,16,-2,3,
19,28,suction,no_secondary_instrument,16,-2,5,
19,29,suction,no_secondary_instrument,16,-2,3,
19,30,suction,no_secondary_instrument,16,-2,3,
19,31,suction,no_secondary_instrument,16,-2,3,
19,32,suction,no_secondary_instrument,16,-2,3,
19,33,out_of_patient,no_secondary_instrument,-1,-2,,
19,34,out_of_patient,no_secondary_instrument,-1,-2,,
19,35,out_of_patient,no_secondary_instrument,-1,-2,,
19,36,out_of_patient,no_secondary_instrument,-1,-2,,
19,37,out_of_patient,no_secondary_instrument,-1,-2,,
19,38,out_of_patient,no_secondary_instrument,-1,-2,,
19,39,out_of_patient,no_secondary_instrument,-1,-2,,
19,40,out_of_patient,no_secondary_instrument,-1,-2,,
19,41,out_of_patient,no_secondary_instrument,-1,-2,,
19,42,out_of_patient,no_secondary_instrument,-1,-2,,
19,43,out_of_patient,no_secondary_instrument,-1,-2,,
19,44,out_of_patient,no_secondary_instrument,-1,-2,,
19,45,out_of_patient,no_secondary_instrument,-1,-2,,
19,46,no_visible_instrument,no_secondary_instrument,0,-2,,
19,47,no_visible_instrument,no_secondary_instrument,0,-2,,
19,48,no_visible_instrument,no_secondary_instrument,0,-2,,
19,49,no_visible_instrument,no_secondary_instrument,0,-2,,
19,50,no_visible_instrument,no_secondary_instrument,0,-2,,
19,51,no_visible_instrument,no_secondary_instrument,0,-2,,
19,52,no_visible_instrument,no_secondary_instrument,0,-2,,
19,53,no_visible_instrument,no_secondary_instrument,0,-2,,
19,54,freer_elevator,no_secondary_instrument,5,-2,4,
19,55,freer_elevator,no_secondary_instrument,5,-2,3,
19,56,freer_elevator,no_secondary_instrument,5,-2,3,
19,57,freer_elevator,no_secondary_instrument,5,-2,3,
19,58,freer_elevator,no_secondary_instrument,5,-2,3,
19,59,freer_elevator,no_secondary_instrument,5,-2,3,
19,60,freer_elevator,no_secondary_instrument,5,-2,3,
19,61,freer_elevator,no_secondary_instrument,5,-2,3,
19,62,freer_elevator,no_secondary_instrument,5,-2,3,
19,63,freer_elevator,no_secondary_instrument,5,-2,3,
19,64,freer_elevator,no_secondary_instrument,5,-2,3,
19,65,freer_elevator,no_secondary_instrument,5,-2,3,
19,66,freer_elevator,no_secondary_instrument,5,-2,3,
19,67,freer_elevator,no_secondary_instrument,5,-2,3,
19,68,freer_elevator,no_secondary_instrument,5,-2,3,
19,69,freer_elevator,no_secondary_instrument,5,-2,3,
19,70,freer_elevator,no_secondary_instrument,5,-2,3,
19,71,freer_elevator,no_secondary_instrument,5,-2,3,
19,72,freer_elevator,no_secondary_instrument,5,-2,3,
19,73,freer_elevator,no_secondary_instrument,5,-2,3,
19,74,freer_elevator,no_secondary_instrument,5,-2,3,
19,75,freer_elevator,no_secondary_instrument,5,-2,3,
19,76,freer_elevator,no_secondary_instrument,5,-2,3,
19,77,freer_elevator,no_secondary_instrument,5,-2,3,
19,78,freer_elevator,no_secondary_instrument,5,-2,3,
19,79,freer_elevator,no_secondary_instrument,5,-2,3,
19,80,freer_elevator,no_secondary_instrument,5,-2,4,
19,81,freer_elevator,no_secondary_instrument,5,-2,3,
19,82,freer_elevator,no_secondary_instrument,5,-2,3,
19,83,freer_elevator,no_secondary_instrument,5,-2,3,
19,84,freer_elevator,no_secondary_instrument,5,-2,3,
19,85,no_visible_instrument,no_secondary_instrument,0,-2,,
19,86,no_visible_instrument,no_secondary_instrument,0,-2,,
19,87,no_visible_instrument,no_secondary_instrument,0,-2,,
19,88,no_visible_instrument,no_secondary_instrument,0,-2,,
19,89,no_visible_instrument,no_secondary_instrument,0,-2,,
19,90,no_visible_instrument,no_secondary_instrument,0,-2,,
19,91,no_visible_instrument,no_secondary_instrument,0,-2,,
19,92,no_visible_instrument,no_secondary_instrument,0,-2,,
19,93,no_visible_instrument,no_secondary_instrument,0,-2,,
19,94,spatula_dissector,no_secondary_instrument,14,-2,4,
19,95,spatula_dissector,no_secondary_instrument,14,-2,3,
19,96,spatula_dissector,no_secondary_instrument,14,-2,3,
19,97,spatula_dissector,no_secondary_instrument,14,-2,3,
19,98,spatula_dissector,no_secondary_instrument,14,-2,4,
19,99,spatula_dissector,no_secondary_instrument,14,-2,3,
19,100,no_visible_instrument,no_secondary_instrument,0,-2,,
19,101,no_visible_instrument,no_secondary_instrument,0,-2,,
19,102,no_visible_instrument,no_secondary_instrument,0,-2,,
19,103,no_visible_instrument,no_secondary_instrument,0,-2,,
19,104,no_visible_instrument,no_secondary_instrument,0,-2,,
19,105,kerrisons,no_secondary_instrument,8,-2,4,
19,106,kerrisons,no_secondary_instrument,8,-2,3,
19,107,kerrisons,no_secondary_instrument,8,-2,4,
19,108,kerrisons,no_secondary_instrument,8,-2,4,
19,109,kerrisons,no_secondary_instrument,8,-2,4,
19,110,kerrisons,no_secondary_instrument,8,-2,3,
19,111,kerrisons,no_secondary_instrument,8,-2,4,
19,112,kerrisons,no_secondary_instrument,8,-2,3,
19,113,kerrisons,no_secondary_instrument,8,-2,3,
19,114,kerrisons,no_secondary_instrument,8,-2,4,
19,115,kerrisons,no_secondary_instrument,8,-2,4,
19,116,kerrisons,no_secondary_instrument,8,-2,4,
19,117,no_visible_instrument,no_secondary_instrument,0,-2,,
19,118,no_visible_instrument,no_secondary_instrument,0,-2,,
19,119,no_visible_instrument,no_secondary_instrument,0,-2,,
19,120,no_visible_instrument,no_secondary_instrument,0,-2,,
19,121,no_visible_instrument,no_secondary_instrument,0,-2,,
19,122,no_visible_instrument,no_secondary_instrument,0,-2,,
19,123,no_visible_instrument,no_secondary_instrument,0,-2,,
19,124,cottle,no_secondary_instrument,2,-2,4,
19,125,cottle,no_secondary_instrument,2,-2,3,
19,126,cottle,no_secondary_instrument,2,-2,3,
19,127,cottle,no_secondary_instrument,2,-2,3,
19,128,cottle,no_secondary_instrument,2,-2,3,
19,129,out_of_patient,no_secondary_instrument,-1,-2,,
19,130,cottle,no_secondary_instrument,2,-2,3,
19,131,cottle,no_secondary_instrument,2,-2,3,
19,132,cottle,no_secondary_instrument,2,-2,3,
19,133,cottle,no_secondary_instrument,2,-2,3,
19,134,cottle,no_secondary_instrument,2,-2,5,
19,135,cottle,no_secondary_instrument,2,-2,3,
