int_video,int_time,str_step,int_step
1,0,operation_not_started,-1
1,2,nasal_corridor_creation,1
1,174,anterior_sphenoidotomy,2
1,668,septum_displacement,3
1,732,sphenoid_sinus_clearance,4
1,877,septum_displacement,3
1,905,sphenoid_sinus_clearance,4
1,1870,haemostasis,8
1,2026,sphenoid_sinus_clearance,4
1,2384,sellotomy,5
1,2634,sphenoid_sinus_clearance,4
1,2657,sellotomy,5
1,2748,durotomy,6
1,2773,sellotomy,5
1,2913,haemostasis,8
1,3101,sphenoid_sinus_clearance,4
1,3126,sellotomy,5
1,3185,haemostasis,8
1,3526,durotomy,6
1,3808,tumour_excision,7
1,4685,haemostasis,8
1,4787,tumour_excision,7
1,6078,haemostasis,8
1,6794,synthetic_graft_placement,9
1,6843,fat_graft_placement,10
1,6963,dural_sealant,12
1,6983,debris_clearance,14
1,7028,dural_sealant,12
1,7058,debris_clearance,14
1,7109,operation_ended,-1
