int_video,int_time,str_step,int_step,
7,0,operation_not_started,-1,
7,55,nasal_corridor_creation,1,0
7,134,anterior_sphenoidotomy,2,1
7,508,septum_displacement,3,2
7,567,sphenoid_sinus_clearance,4,
7,1006,sellotomy,5,
7,1061,haemostasis,8,
7,1287,sellotomy,5,
7,1568,durotomy,6,
7,1597,sellotomy,5,
7,1654,durotomy,6,
7,1842,tumour_excision,7,
7,1982,haemostasis,8,
7,2081,synthetic_graft_placement,9,
7,2306,fat_graft_placement,10,
7,2601,dural_sealant,12,
7,2640,operation_ended,-1,
